IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110004230,ADAPI-PI/DG/DTO/GEDA/USAVCB,Unidade de Sanidade Animal e Vegetal de Canto do Buriti - ADAPI-PI,N,N,N
110004227,ADAPI-PI/DG/DTO/GEDA/USAVCM,Unidade de Sanidade Animal e Vegetal de Campo Maior - ADAPI-PI,N,N,N
110004239,ADAPI-PI/DG/DTO/GEDA/USAVCOR,Unidade de Sanidade Animal e Vegetal de Corrente - ADAPI-PI,N,N,N
110004244,ADAPI-PI/DG/DTO/GEDA/USAVCUR,Unidade de Sanidade Animal e Vegetal de Curimatá - ADAPI-PI,N,N,N
110004255,ADAPI-PI/DG/DTO/GEDA/USAVESP,Unidade de Sanidade Animal e Vegetal de Esperantina - ADAPI-PI,N,N,N
110004250,ADAPI-PI/DG/DTO/GEDA/USAVEV,Unidade de Sanidade Animal e Vegetal de Elesbão Veloso - ADAPI-PI,N,N,N
110004258,ADAPI-PI/DG/DTO/GEDA/USAVFLO,Unidade de Sanidade Animal e Vegetal de Floriano - ADAPI-PI,N,N,N
110004265,ADAPI-PI/DG/DTO/GEDA/USAVFRO,Unidade de Sanidade Animal e Vegetal de Fronteiras - ADAPI-PI,N,N,N
110004268,ADAPI-PI/DG/DTO/GEDA/USAVGILB,Unidade de Sanidade Animal e Vegetal de Gilbués - ADAPI-PI,N,N,N
110004271,ADAPI-PI/DG/DTO/GEDA/USAVIT,Unidade de Sanidade Animal e Vegetal de Itaueira - ADAPI-PI,N,N,N
110004275,ADAPI-PI/DG/DTO/GEDA/USAVJAI,Unidade de Sanidade Animal e Vegetal de Jaicós - ADAPI-PI,N,N,N
110004280,ADAPI-PI/DG/DTO/GEDA/USAVJF,Unidade de Sanidade Animal e Vegetal de José de Freitas - ADAPI-PI,N,N,N
110004284,ADAPI-PI/DG/DTO/GEDA/USAVLUZ,Unidade de Sanidade Animal e Vegetal de Luzilândia - ADAPI-PI,N,N,N
110004287,ADAPI-PI/DG/DTO/GEDA/USAVNAZ,Unidade de Sanidade Animal e Vegetal de Nazária - ADAPI-PI,N,N,N
110004289,ADAPI-PI/DG/DTO/GEDA/USAVOE,Unidade de Sanidade Animal e Vegetal Oeiras - ADAPI-PI,N,N,N
110004296,ADAPI-PI/DG/DTO/GEDA/USAVPAUL,Unidade de Sanidade Animal e Vegetal de Paulistana - ADAPI-PI,N,N,N
110004302,ADAPI-PI/DG/DTO/GEDA/USAVPHB,Unidade de Sanidade Animal e Vegetal de Parnaíba - ADAPI-PI,N,N,N
110004309,ADAPI-PI/DG/DTO/GEDA/USAVPIC,Unidade de Sanidade Animal e Vegetal de Picos - ADAPI-PI,N,N,N
110004324,ADAPI-PI/DG/DTO/GEDA/USAVPII,Unidade de Sanidade Animal e Vegetal Pedro II - ADAPI-PI,N,N,N
110004320,ADAPI-PI/DG/DTO/GEDA/USAVPIRA,Unidade de Sanidade Animal e Vegetal Piracuruca - ADAPI-PI,N,N,N
110004315,ADAPI-PI/DG/DTO/GEDA/USAVPIRI,Unidade de Sanidade Animal e Vegetal de Piripiri - ADAPI-PI,N,N,N
110004327,ADAPI-PI/DG/DTO/GEDA/USAVPIX,Unidade de Sanidade Animal e Vegetal de Pio IX - ADAPI-PI,N,N,N
110004329,ADAPI-PI/DG/DTO/GEDA/USAVRG,Unidade de Sanidade Animal e Vegetal de Ribeiro Gonçalves - ADAPI-PI,N,N,N
110004348,ADAPI-PI/DG/DTO/GEDA/USAVSCR,Unidade de Sanidade Animal e Vegetal de Santa Cruz do Piauí - ADAPI-PI,N,N,N
110004353,ADAPI-PI/DG/DTO/GEDA/USAVSIM,Escritório de Atendimento à Comunidade de Simões - ADAPI-PI,N,N,N
110004331,ADAPI-PI/DG/DTO/GEDA/USAVSJ,Unidade de Sanidade Animal e Vegetal de São João do Piauí - ADAPI-PI,N,N,N
110004406,ADAPI-PI/DG/DTO/GEDA/USAVSM,Unidade de Sanidade Animal e Vegetal de Simplício Mendes - ADAPI-PI,N,N,N
110004342,ADAPI-PI/DG/DTO/GEDA/USAVSP,Unidade de Sanidade Animal e Vegetal de São Pedro do Piauí - ADAPI-PI,N,N,N
110004334,ADAPI-PI/DG/DTO/GEDA/USAVSRN,Unidade de Sanidade Animal e Vegetal de São Raimundo Nonato - ADAPI-PI,N,N,N
110004185,ADAPI-PI/DG/DTO/GEDA/USAVTHE,Unidade de Sanidade Animal e Vegetal de Teresina - ADAPI-PI,N,N,N
110004357,ADAPI-PI/DG/DTO/GEDA/USAVUR,Unidade de Sanidade Animal e Vegetal de Uruçuí - ADAPI-PI,N,N,N
110004360,ADAPI-PI/DG/DTO/GEDA/USAVVAL,Unidade de Sanidade Animal e Vegetal de Valença - ADAPI-PI,N,N,N
110002075,ADAPI-PI/DG/DTO/GESIE,Gerência do Serviço de Inspeção Estadual - ADAPI-PI,N,N,N
110004181,ADAPI-PI/DG/DTO/GESIE/CCOMP,"Coordenação de Carne, Ovos, Mel e Pescado - ADAPI-PI",N,N,N
110004180,ADAPI-PI/DG/DTO/GESIE/CESIE,Coordenação de Inspeção de Carnes e Derivados - ADAPI-PI,N,N,N
110002076,ADAPI-PI/DG/DTO/GESIE/CIPOA,Coordenação de Inspeção de Produtos de Origem Animal - ADAPI-PI,N,N,N
110004182,ADAPI-PI/DG/DTO/GESIE/CLAND,Coordenação de Combate a Clandestinos - ADAPI-PI,N,N,N
110004183,ADAPI-PI/DG/DTO/GESIE/PIFRIGO,Piauí Frigorífico - ADAPI-PI,N,N,N
